lastUpdated,text,title,url
" 22 June 2023, at 16:06",text,,https://en.wikipedia.org/wiki/United_States
" 13 June 2023, at 10:38",text,,https://en.wikipedia.org/wiki/Wikipedia:Community_portal
" 13 July 2020, at 20:45",text,,https://en.wikipedia.org/wiki/Wikipedia:Contact_us
" 5 October 2022, at 19:27",text,,https://en.wikipedia.org/wiki/Main_Page
" 20 March 2023, at 22:01",text,,https://en.wikipedia.org/wiki/Help:Introduction
" 22 May 2023, at 17:31",text,,https://en.wikipedia.org/wiki/Wikipedia:Contents
" 7 March 2023, at 07:13",text,,https://en.wikipedia.org/wiki/Help:Contents
" 28 December 2022, at 12:16",text,,https://en.wikipedia.org/wiki/Wikipedia:File_upload_wizard
" 21 June 2023, at 15:58",text,,https://en.wikipedia.org/wiki/Wikipedia:About
" 12 June 2023, at 08:26",text,,https://en.wikipedia.org/wiki/Portal:Current_events
" 6 April 2023, at 17:44",text,,https://en.wikipedia.org/wiki/US_(disambiguation)
" 22 March 2023, at 19:29",text,,https://en.wikipedia.org/wiki/America_(disambiguation)
" 28 December 2022, at 12:16",text,,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard
" 20 June 2023, at 13:18",text,,https://en.wikipedia.org/wiki/Geographic_coordinate_system
" 29 May 2023, at 07:30",text,,https://en.wikipedia.org/wiki/Wikipedia:Protection_policy
" 18 June 2023, at 03:33",text,,https://en.wikipedia.org/wiki/United_Nations_Charter
" 13 June 2023, at 17:32",text,,https://en.wikipedia.org/wiki/Natural_resource
" 22 June 2023, at 16:22",text,,https://en.wikipedia.org/wiki/Talk:United_States
" 20 June 2023, at 08:14",text,,https://en.wikipedia.org/wiki/Financial_center
" 22 June 2023, at 17:04",text,,https://en.wikipedia.org/wiki/Higher_Power
" 13 June 2023, at 21:45",text,,https://en.wikipedia.org/wiki/Science_policy_of_the_United_States
" 11 June 2023, at 19:31",text,,https://en.wikipedia.org/wiki/List_of_cities_by_GDP
" 13 June 2023, at 05:47",text,,https://en.wikipedia.org/wiki/Amazon_(company)
" 21 June 2023, at 16:20",text,,https://en.wikipedia.org/wiki/Ukraine
