Title,Price,Score
Python QuickStart Guide: The Simplified Beginner's Guide to Python Programming Using Hands-On Projects and Real-World Applications (QuickStart Guides™ - Technology),26.99,4.6
Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,22.47,4.4
Python 3: The Comprehensive Guide to Hands-On Python Programming,55.75,4.6
Mastering Python: 100+ Solved and Commented Exercises to Accelerate Your Learning,19.90,5.0
"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",30.49,4.7
Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,22.47,4.4
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",26.44,4.7
"Python for Security and Networking: Leverage Python modules and tools in securing your network and applications, 3rd Edition Python Programming for Beginners: The Simplified Beginner’s Guide to Mastering Python Programming in One Week. Learn Python Quickly with No Prior Experience. Fast Python: High performance techniques for large datasets Python Essentials for AWS Cloud Developers: Run and deploy cloud-based Python applications using AWS Mastering Python: 100+ Solved and Commented Exercises to Accelerate Your Learning Causal Inference and Discovery in Python: Unlock the secrets of modern causal machine learning with DoWhy, EconML, PyTorch and more Python How-To: 63 techniques to improve your Python code Introducing Python (2nd Edition): Modern Computing in Simple Packages",39.9917.4753.9949.990.0047.6846.990.00,5.0
Python Programming Language,7.95,4.6
"Learning Python, 5th Edition",58.55,4.5
"Fluent Python: Clear, Concise, and Effective Programming",50.99,4.7
"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",43.99,4.4
Python Standard Library: A Quickstudy Laminated Reference Guide,6.95,4.7
Introducing Python: Modern Computing in Simple Packages,27.49,4.7
Python Programming and SQL: The Definitive Guide for Beginners to Learn Python and SQL in 7 Days with Step-by-Step Guidance and Hands-On Exercises,0.00,4.8
Python QuickStart Guide: The Simplified Beginner's Guide to Python Programming Using Hands-On Projects and Real-World Applications (QuickStart Guides™ - Technology),26.99,4.6
Python Programming and SQL: The Definitive Guide for Beginners to Learn Python and SQL in 7 Days with Step-by-Step Guidance and Hands-On Exercises,22.47,4.8
The Quick Python Book,29.99,4.3
Advanced Python Techniques for Real-World Applications (Python Programming: The Complete Guide.),6.14,N/A
The Big Book of Small Python Projects: 81 Easy Practice Programs,39.99,4.6
Python All-in-One For Dummies (For Dummies (Computer/Tech)),29.99,4.6
Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming),0.00,4.7
Object-Oriented Python: Master OOP by Building Games and GUIs,27.77,4.7
"Hands-On Simulation Modeling with Python: Develop simulation models for improved efficiency and precision in the decision-making process, 2nd Edition",39.99,4.8
Python Essentials for AWS Cloud Developers: Run and deploy cloud-based Python applications using AWS,49.99,5.0
Python Tricks: A Buffet of Awesome Python Features,29.99,4.6
Introduction to Synthetic Aperture Radar Using Python and MATLAB®,139.00,3.4
Mastering Python for Artificial Intelligence: Learn the Essential Coding Skills to Build Advanced AI Applications,0.00,5.0
Python (2nd Edition): Learn Python in One Day and Learn It Well. Python for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 1),0.00,4.5
Python Programming for Beginners: The Ultimate Guide for Beginners to Learn Python Programming: Crash Course on Python Programming for Beginners,22.99,4.6
Think Python: How to Think Like a Computer Scientist,29.74,4.7
Python Basics: A Practical Introduction to Python 3,39.99,4.6
"Python Cookbook, Third Edition",41.38,4.6
Modeling and Simulation in Python: An Introduction for Scientists and Engineers,35.49,N/A
"Advanced Python Programming: Accelerate your Python programs using proven techniques and design patterns, 2nd Edition",41.01,4.4
Python 3: The Comprehensive Guide to Hands-On Python Programming,55.75,4.6
Python for Excel: A Modern Environment for Automation and Data Analysis,36.49,4.5
Dead Simple Python: Idiomatic Python for the Impatient Programmer,38.69,4.3
Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,13.29,4.6
Python Programming for Beginners: The Simplified Beginner’s Guide to Mastering Python Programming in One Week. Learn Python Quickly with No Prior Experience.,17.47,4.7
Python in a Nutshell: A Desktop Quick Reference,67.31,4.8
Python Programming for the Absolute Beginner (Part-4): The Most Complete Python Programming Code from Newcomer,0.00,3.0
"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters",40.49,4.7
"Python for Security and Networking: Leverage Python modules and tools in securing your network and applications, 3rd Edition",39.99,5.0
Python Programming and SQL: [7 in 1] The Most Comprehensive Coding Course from Beginners to Advanced | Master Python & SQL in Record Time with Insider Tips and Expert Secrets,0.00,5.0
Python for Everybody: Exploring Data in Python 3,0.99,4.6
El lenguaje de programación Python de principio a fin (Spanish Edition),29.29,4.7
High Performance Python: Practical Performant Programming for Humans,36.49,4.7
Monty Python's Flying Circus: The Complete Series [DVD],30.79,4.8
"Learn Enough Python to Be Dangerous: Software Development, Flask Web Apps, and Beginning Data Science with Python",31.99,N/A
Mastering Python: 100+ Solved and Commented Exercises to Accelerate Your Learning,0.00,5.0
Python Programming and SQL: 6 books in 1: The Ultimate Guides To Master Programming Quickly with Practical step-by-step Exercises,32.98,5.0
"Python for Absolute Beginners: Rocket through the basics in an afternoon (AI, Data Science, Python & Statistics for Beginners Book 4)",0.00,4.6
PYTHON: PROGRAMMING: A BEGINNER’S GUIDE TO LEARN PYTHON IN 7 DAYS,0.00,4.4
